Mercedes Abad	Ligeros libertinajes sabaticos	https://covers.openlibrary.org/b/id/5269787-L.jpg	¡Basta ya de ser serios! Nosotros sabemos que hay que trabajar duro, pero también hay que divertirnos, eso es lo que dice Mercedes Abad en Ligeros libertinajes sabaticos. Esta autora nos invita a disfrutar de unos días libres de responsabilidades para redescubrir nuestras fuerzas y nuestras pasiones.
Mercedes Abad	Viaje con turbulencias		¡La vida es un viaje con turbulencias! Y eso es lo que reflexiona en este libro Mercedes Abad, con un estilo divertido y lleno de anécdotas que invita al lector a disfrutar de su propio viaje con turbulencias. A lo largo de este libro, Mercedes Abad nos presenta una reflexión sobre la vida que abarca todos los aspectos: el amor, la amistad, la familia, el trabajo, el dinero, la salud, el éxito, la felicidad... Y todo ello desde una perspectiva positiva. ¡Un viaje con mucho humor!
Hector Abad Faciolince	El novelista en la torre de babel		¡Qué buena novedad! Un libro de Hector Abad Faciolince, con el mismo estilo que nos ha llevado a leer repetidas veces a sus obras anteriores. En El novelista en la torre de Babel, Abad Faciolince nos presenta la historia de un escritor que decide retirarse a una torre de Babel para escribir su último libro. Con este libro, Abad Faciolince nos muestra que su estilo ha permanecido intacto y que, gracias a él, seguimos disfrutando de su escritura.
Fernando B. Abad Rodriguez	Manifiesto del surrealismo	https://covers.openlibrary.org/b/id/12348915-L.jpg	1. El Surrealismo es un movimiento para la liberación de la mente. 2. El Surrealismo es la negación del razonamiento como medio de conocimiento absoluto. 3. El Surrealismo es la négation de todo esfuerzo racional para adaptarse al mundo empírico. 4. El Surrealismo es la negación de la posibilidad de una conciencia pura. 5. El Surrealismo es la negación de la voluntad como fuerza directiva del ser humano. 6. El Surrealismo es la negación de la diferencia entre lo real y lo imaginario. 7. El Surrealismo es la negación de la ley de la causa y el efecto. 8. El Surrealismo es la negación de la separación entre lo espiritual y lo material. 9. El Surrealismo es la neg
Leopoldo Abadia	La hora de los sensatos	https://covers.openlibrary.org/b/id/14156043-L.jpg	¡Es hora de pensar con la cabeza y no con los corazones! Leopoldo Abadía, uno de los pensadores económicos más influyentes de España, nos aconseja en este libro cómo superar la crisis desde un punto de vista positivo y optimista. Abadía demuestra en La hora de los sensatos que el sentido común es clave para salir adelante y que no hay que ser un gurú de la economía para entenderlo. Un texto fácil, ameno y cargado detalles de la vida cotidiana con el que el lector se identificará.
Edwin Abbott	Planilandia	https://covers.openlibrary.org/b/id/11622355-L.jpg	¡Espera lo que viene! Un viaje al centro de la Tierra, un viaje al espacio, un viaje al pasado... Pero este viaje es diferente: es un viaje al mundo de las matemáticas. Planilandia es una novela de Edwin Abbott, publicada en 1884, que narra el viaje de un profesor de lengua inglés a un mundo plano, donde la geometría es realidad. El autor, matemático y teólogo, pretende en esta obra hacer una apología de la geometría como herramienta para entender el mundo.
Hayley Abbott	Forbiden boy		16-year-old Eloise is determined to get to the bottom of her best friend's disappearance, regardless of the obstacles put in her way by her friends, her teachers and the school authorities.
Jeff Abbott	Panico	https://covers.openlibrary.org/b/id/9267348-L.jpg	¡Casi ha llegado el final de Jeff Abbott como novelista de thriller! Panico es la última novela del autor de The Last Minute antes de lanzarse a una nueva trilogía. Un padre que ha perdido a su hijo en un accidente de coche, una mujer que ha sobrevivido a un asesinato, un niño secuestrado, un detective desesperado. En Panico, Jeff Abbott nos presenta a una familia destrozada por el misterio y el terror.
Sergio Carlos Abdala	El vino trece		¡Bebedores de vino, atén! El vino trece es un libro sobre el vino que se destaca por su originalidad. Sergio Carlos Abdala, uno de los mejores periodistas de la actualidad, nos lleva de la mano por el vino más tierno, el más fuerte y el más misterioso: el vino trece, el que se produce en las viñas con menos de trece viñas por hectárea. Un libro que se destaca por su humor, su sarcasmo y su gran riqueza documental.
Kader Abdolah	El reflejo de las palabras		2012, el año del despertar. El reflejo de las palabras es el último libro del escritor iraní Kader Abdolah. En él se desarrollan dos historias paralelas que se cruzan en el momento en que se produce el terremoto de 2004 en Indonesia. La primera, es la vida de Yazdan, un hombre que vive en París y que, al enterarse de la noticia, se preocupa por la seguridad de su familia en Irán. La segunda, es la vida de Amin, un hombre que vive en Java y que, al enterarse de la noticia, se preocupa por la seguridad de su esposa que se encuentra en Teherán. Los dos personajes se encuentran por primera vez en Indonesia, pero se separan poco después. La trama se
Eliette Abecassis	Clandestino	https://covers.openlibrary.org/b/id/10100195-L.jpg	¡Atrevida novela de amor y espionaje!
Eliette Abecassis	El oro y la ceniza		¡Nueva novela de Eliette Abecassis! El oro y la ceniza es una historia que se desarrolla entre la Francia de la posguerra y la actualidad, y que nos lleva a la búsqueda de la verdad sobre la muerte de un joven judío durante la ocupación alemana. Un thriller que combina el suspense con la reflexión y que nos muestra cómo la memoria puede ser un arma poderosa, pero también un obstáculo.
Eliette Abecassis	La repudiada	https://covers.openlibrary.org/b/id/3328706-L.jpg	¡La repudiada es un thriller en el que la historia se entrelaza con la vida del autor! La historia de la doctora Lena Söderberg comienza en el hospital de París, donde es operada de urgencia. Tras el ingreso, descubre que ha sido declarada muerta y que su esposo y sus dos hijos han organizado un funeral en su honor. ¿Qué ha sucedido?
Eliette Abecassis	Qumran	https://covers.openlibrary.org/b/id/5258963-L.jpg	¡Qué leer para disfrutar del verano! Qumran es el lugar donde se supone que vivieron los escolásticos que escribieron los textos del Antiguo Testamento conocidos como los rollos del Mar Muerto. En Qumran, Eliette Abecassis nos lleva a una excavación arqueológica que cambió el curso de la historia del mundo. A través de los diarios de Jean-Baptiste Humbert, uno de los arquitectos de la misión, podemos vivir, sentir y ver cómo se descubre una de las obras maestras del siglo XX.
Eliette Abecassis	Qumran-el tesoro del templo		¡Este libro es una revelación! Qumran-el tesoro del templo es un libro que, con la ayuda de fotografías y reconstrucciones, permite acercarnos a un lugar emblemático para la historia del judaísmo y el cristianismo. Eliette Abecassis nos invita a descubrir un lugar hasta ahora desconocido por la mayoría de los lectores. Qumran-el tesoro del templo es una obra que se une a la literatura más importante sobre el tema.
Eliette Abecassis	Qumran-la ultima tribu		La última tribu es la historia de una comunidad judía que vivió en la zona del mar Muerto durante más de un siglo, desde el 100 a. C. Hasta la destrucción de Roma en el 70 d. C. Esta historia, narrada por primera vez en forma de novelas por Eliette Abécassis, se basa en los manuscritos descubiertos en Qumran, el yacimiento arqueológico más importante del siglo XX.
Eliette Abecassis	Un feliz acontecimiento		¡Una novela irresistible que se convierte en un libro para leer en compañía! Un feliz acontecimiento es la historia de una mujer que, con la llegada de la vejez, se da cuenta de que no ha vivido la vida que realmente quería. Entonces, decide cambiarlo todo y emprender una nueva etapa en la que vivirá sin preocuparse por lo que dicen los demás.
Asensio Abeijon	Fuego en comodoro		1967. Un avión de la USAF desaparece en el Atlántico. Se busca sin éxito durante meses hasta que se descubre un misterioso debris. La Fuerza Aérea americana lo ignora, pero el gobernador de Carolina del Sur no se rinde. Así comienza una búsqueda obsesiva que lleva a un periodista de investigación y a un grupo de cazasubmarinos a buscarlo en las profundidades del océano. Pero ¿qué están escondiendo los Estados Unidos?
